class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1029,1017,1016,1010,1175,1099,1038,1020,343229.037,3765763.574
Water,1028,1014,1022,1005,1188,1128,1030,1011,343230.261,3765792.847
Water,1035,1020,1011,1006,1130,1122,1045,1013,343234.545,3765746.351
Water,1024,1033,1012,1006,1175,1114,1046,1023,343254.220,3765785.044
Water,1028,1012,1022,1010,1170,1098,1047,1012,343216.260,3765765.960
Water,1033,1023,1011,1008,1164,1121,1038,1025,343230.792,3765759.111
Water,1032,1016,1014,1006,1179,1110,1026,1012,343228.323,3765743.008
Water,1029,1012,1021,1007,1179,1123,1034,1027,343222.750,3765795.809
Water,1029,1015,1018,1011,1139,1109,1044,1007,343222.206,3765771.679
Water,1024,1037,1008,1014,1160,1129,1044,1015,343264.814,3765797.400
Water,1027,1018,1022,1001,1176,1126,1039,1006,343231.721,3765800.582
Water,1030,1020,1014,1010,1157,1092,1025,1012,343231.244,3765772.409
Water,1028,1016,1022,1003,1169,1118,1044,1015,343221.038,3765801.762
Water,1024,1033,1012,1006,1175,1114,1046,1023,343257.979,3765784.396
Water,1029,1012,1021,1007,1179,1123,1034,1027,343228.860,3765791.343
Water,1034,1031,1006,1008,1155,1128,1045,1011,343259.426,3765768.854
Water,1029,1017,1016,1010,1175,1099,1038,1020,343229.585,3765764.763
Water,1026,1026,1016,1004,1150,1087,1036,1016,343246.999,3765787.568
Water,1029,1012,1021,1007,1179,1123,1034,1027,343221.460,3765799.201
Water,1023,1035,1008,1014,1178,1116,1044,1006,343261.829,3765789.352
Water,1029,1015,1018,1011,1139,1109,1044,1007,343225.210,3765774.650
Water,1023,1033,1015,1005,1174,1137,1033,1015,343255.102,3765798.022
Water,1032,1016,1014,1006,1179,1110,1026,1012,343227.051,3765744.646
Water,1024,1033,1012,1006,1175,1114,1046,1023,343257.729,3765787.106
Water,1023,1032,1007,1011,1180,1104,1041,996,343260.718,3765771.282
Water,1026,1037,1009,1011,1158,1104,1055,1027,343267.468,3765802.561
Water,1023,1033,1015,1005,1174,1137,1033,1015,343250.647,3765799.726
Water,1028,1012,1022,1010,1170,1098,1047,1012,343213.146,3765764.552
Water,1023,1033,1015,1005,1174,1137,1033,1015,343257.016,3765794.363
Water,1030,1031,1008,1007,1184,1131,1046,1016,343259.545,3765771.879
Water,1023,1032,1007,1011,1180,1104,1041,996,343262.240,3765773.304
Water,1024,1023,1023,1010,1190,1106,1036,1005,344247.825,3765306.959
Water,1021,1013,1028,1011,1186,1102,1031,1012,344238.158,3765306.443
Water,1028,1014,1026,1015,1170,1094,1020,1006,344202.888,3765329.837
Water,1025,1023,1023,1010,1182,1102,1035,1010,344247.084,3765310.404
Water,1030,1022,1030,1011,1180,1104,1047,1015,344233.473,3765336.842
Water,1030,1022,1030,1011,1180,1104,1047,1015,344235.732,3765336.847
Water,1026,1022,1024,1014,1165,1109,1038,1010,344214.767,3765318.718
Water,1021,1013,1028,1011,1186,1102,1031,1012,344232.820,3765304.682
Water,1024,1023,1023,1010,1190,1106,1036,1005,344243.603,3765301.203
Water,1029,1024,1025,1008,1162,1102,1025,1022,344196.832,3765299.765
Water,1020,1016,1028,1009,1165,1099,1045,1023,344235.484,3765290.274
Water,1026,1020,1022,1010,1170,1105,1022,999,344244.433,3765287.536
Water,1027,1019,1018,1010,1167,1117,1031,1024,344244.316,3765279.194
Water,1027,1027,1023,1010,1180,1092,1026,1018,344208.205,3765307.441
Water,1028,1013,1032,1010,1192,1115,1036,1016,344199.112,3765330.941
Water,1021,1013,1028,1011,1186,1102,1031,1012,344236.380,3765303.828
Water,1030,1014,1025,1016,1150,1097,1032,1023,344210.593,3765333.814
Water,1028,1018,1028,1009,1132,1094,1042,1020,344193.167,3765309.069
Water,1025,1026,1023,1011,1160,1107,1026,1005,344213.262,3765308.001
Water,1029,1020,1025,1009,1178,1115,1032,1014,344249.780,3765330.489
Water,1027,1022,1024,1012,1167,1109,1028,1013,344204.686,3765319.593
Water,1021,1013,1028,1011,1186,1102,1031,1012,344237.499,3765305.853
Water,1020,1016,1028,1009,1165,1099,1045,1023,344238.582,3765298.248
Water,1030,1014,1025,1016,1150,1097,1032,1023,344219.900,3765333.322
Water,1024,1015,1029,1014,1186,1104,1020,1009,344225.505,3765313.077
Water,1028,1013,1032,1010,1192,1115,1036,1016,344199.861,3765332.489
Water,1024,1023,1023,1010,1190,1106,1036,1005,344245.651,3765305.420
Water,1026,1025,1018,1008,1184,1105,1027,1008,344212.264,3765285.389
Water,1031,1025,1022,1008,1138,1089,1048,1020,344198.738,3765287.899
Water,1029,1024,1025,1008,1162,1102,1025,1022,344194.357,3765298.457
Water,1026,1025,1018,1008,1184,1105,1027,1008,344218.494,3765280.762
Water,1024,1015,1029,1013,1175,1103,1020,1008,344235.751,3765316.073
Water,1025,1023,1023,1010,1182,1102,1035,1010,344242.961,3765313.635
Water,1021,1019,1021,1007,1187,1103,1039,1023,344226.863,3765288.057
Water,1021,1019,1021,1007,1187,1103,1039,1023,344228.613,3765287.865
Water,1024,1015,1029,1014,1186,1104,1020,1009,344221.190,3765312.397
Water,1028,1028,1022,1008,1194,1092,1043,1023,344207.553,3765291.957
Water,1022,1014,1029,1012,1197,1102,1015,1016,344229.872,3765301.696
Water,1028,1022,1024,1011,1173,1110,1031,1009,344245.945,3765324.760
Water,1031,1023,1012,1010,1150,1102,1031,1014,344210.000,3765278.873
Water,1024,1017,1012,1007,1182,1097,1040,1012,344237.658,3765278.272
Water,1030,1014,1025,1016,1150,1097,1032,1023,344213.668,3765335.573
Water,1029,1019,1030,1016,1175,1092,1034,1010,344220.299,3765321.361
Water,1029,1011,1026,1015,1172,1089,1043,1027,344205.623,3765331.238
Water,1025,1021,1024,1010,1165,1103,1034,1003,344243.385,3765296.894
Water,1021,1018,1028,1009,1140,1099,1030,1019,344221.545,3765299.498
Water,1021,1019,1021,1007,1187,1103,1039,1023,344225.368,3765287.310
Water,1024,1017,1012,1007,1182,1097,1040,1012,344236.945,3765278.749
Water,1024,1015,1029,1013,1175,1103,1020,1008,344231.040,3765311.056
Water,1028,1028,1022,1008,1194,1092,1043,1023,344200.985,3765292.950
Water,1030,1018,1029,1001,1158,1160,1043,1005,346026.507,3766551.198
Water,1035,1017,1032,1003,1136,1145,1043,1014,346031.558,3766542.762
Water,1030,1016,1028,1002,1166,1146,1043,1014,346032.065,3766552.536
Water,1030,1018,1029,1001,1158,1160,1043,1005,346024.765,3766554.287
Water,1030,1018,1029,1001,1158,1160,1043,1005,346029.302,3766554.658
Water,1035,1020,1031,1003,1139,1167,1033,1018,346026.986,3766543.593
Water,1035,1020,1031,1003,1139,1167,1033,1018,346029.262,3766541.198
Water,1030,1016,1028,1002,1166,1146,1043,1014,346031.922,3766555.745
Water,1030,1016,1028,1002,1166,1146,1043,1014,346034.013,3766555.593
Water,1035,1020,1031,1003,1139,1167,1033,1018,346024.320,3766544.049
Water,1035,1020,1031,1003,1139,1167,1033,1018,346028.050,3766548.348
Water,1030,1016,1028,1002,1166,1146,1043,1014,346031.195,3766554.919
Water,1035,1020,1031,1003,1139,1167,1033,1018,346029.646,3766549.598
Water,1030,1016,1028,1002,1166,1146,1043,1014,346032.742,3766554.875
Water,1035,1020,1031,1003,1139,1167,1033,1018,346027.680,3766542.150
Water,1035,1020,1031,1003,1139,1167,1033,1018,346029.509,3766545.451
Water,1035,1017,1032,1003,1136,1145,1043,1014,346032.259,3766549.841
Water,1035,1017,1032,1003,1136,1145,1043,1014,346030.747,3766548.843
Water,1030,1018,1029,1001,1158,1160,1043,1005,346027.006,3766554.292
Water,1030,1016,1028,1002,1166,1146,1043,1014,346031.696,3766552.257
Water,1030,1018,1029,1001,1158,1160,1043,1005,346024.387,3766551.007
Water,1030,1018,1029,1001,1158,1160,1043,1005,346023.750,3766554.072
Water,1039,1023,1025,1006,1164,1157,1040,1034,346027.859,3766539.732
Water,1039,1023,1025,1006,1164,1157,1040,1034,346022.954,3766535.287
