class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.017,3765532.314
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.899,3765535.585
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.657,3765534.024
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.158,3765531.940
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.702,3765534.103
Water,1033,1020,1029,1009,1183,1127,1045,1021,341087.620,3765529.506
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.602,3765532.514
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.287,3765535.716
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.194,3765532.480
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.446,3765538.178
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.898,3765538.663
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.173,3765533.320
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.742,3765534.376
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.758,3765535.226
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.808,3765537.622
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.814,3765534.057
Water,1031,1016,1021,1007,1161,1135,1045,1020,341092.328,3765530.733
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.380,3765532.949
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.646,3765535.840
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.485,3765532.707
Water,1033,1020,1029,1009,1183,1127,1045,1021,341085.366,3765529.213
Water,1033,1020,1029,1009,1183,1127,1045,1021,341086.876,3765528.739
Water,1031,1016,1021,1007,1161,1135,1045,1020,341091.582,3765533.145
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.576,3765536.984
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.220,3765533.292
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.072,3765536.233
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.269,3765538.708
Water,1030,1017,1029,1008,1154,1137,1045,1020,341090.001,3765528.939
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.948,3765536.666
Water,1031,1016,1021,1007,1161,1135,1045,1020,341091.424,3765534.242
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.880,3765533.300
Water,1033,1020,1029,1009,1183,1127,1045,1021,341086.861,3765528.660
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.513,3765532.221
Water,1033,1020,1029,1009,1183,1127,1045,1021,341082.254,3765528.532
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.477,3765537.978
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.617,3765532.512
Water,1033,1020,1029,1009,1183,1127,1045,1021,341088.968,3765529.692
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.932,3765535.807
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.436,3765532.816
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.648,3765530.044
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.463,3765536.427
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.327,3765536.973
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.310,3765537.621
Water,1031,1031,1020,1016,1155,1148,1046,1018,341318.826,3765464.519
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.726,3765452.542
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.663,3765455.796
Water,1039,1035,1020,1017,1156,1134,1044,1034,341329.350,3765457.423
Water,1031,1031,1020,1016,1155,1148,1046,1018,341319.679,3765462.809
Water,1031,1031,1020,1016,1155,1148,1046,1018,341319.317,3765463.819
Water,1039,1035,1020,1017,1156,1134,1044,1034,341325.226,3765454.522
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.930,3765457.888
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.715,3765457.950
Water,1034,1032,1020,1016,1176,1116,1039,1022,341330.396,3765460.301
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.023,3765455.653
Water,1035,1032,1020,1016,1168,1126,1046,1024,341323.267,3765463.445
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.025,3765459.190
Water,1039,1035,1020,1017,1156,1134,1044,1034,341322.081,3765456.221
Water,1031,1031,1020,1016,1155,1148,1046,1018,341318.696,3765463.436
Water,1039,1035,1020,1017,1156,1134,1044,1034,341328.523,3765455.124
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.142,3765457.414
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.691,3765466.032
Water,1039,1037,1020,1016,1181,1126,1046,1022,341331.320,3765454.361
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.289,3765454.399
Water,1039,1037,1020,1016,1181,1126,1046,1022,341331.393,3765456.570
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.868,3765465.905
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.621,3765464.823
Water,1039,1037,1020,1016,1181,1126,1046,1022,341330.851,3765456.583
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.547,3765462.867
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.602,3765460.153
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.596,3765457.237
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.839,3765457.316
Water,1035,1032,1020,1016,1168,1126,1046,1024,341324.112,3765462.055
Water,1039,1035,1020,1017,1156,1134,1044,1034,341325.863,3765459.961
